"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：草果四味汤散
汉语拼音：cao guo si wei shang san",【成份】草果、丁香、木香、小茴香。,【性状】本品为棕黄色粉末；气芳香，味辛，苦。,【功能主治】调节“赫依”，健脾胃。用于上行“赫依”，持命“赫依”之病，“赫依”引起的头痛。尤其对脾虚有显著疗效。
"【药品名称】
通用名称：茶色素胶囊
汉语拼音：Chasesu jiaonang",【成份】茶色素干浸膏,【性状】本品为胶囊剂，内容物为褐灰色的粉末；气微，味咸、涩。,【功能主治】清利头目，化痰消脂。用于痰瘀互结引起的头目眩晕、胸闷胸痛、高脂血症、冠心病、心绞痛、脑梗塞等具有上述症候者。
"【药品名称】
通用名称：柴黄冲剂
汉语拼音：Chaihuang Chongji",【成份】柴胡、黄芩提取物(以黄芩甙计)、,【性状】本品为棕黄色的颗粒；味甜、微苦。,【功能主治】　清热消炎。用于上呼吸道感染，感冒发烧。
"【药品名称】
通用名称：柴黄口服液
汉语拼音：chaihuang koufuye",【成份】柴胡、黄岑,【性状】本品为棕褐色的液体；气微，味甘，微苦。,【功能主治】清热解表。用于轻、中型风热感冒引起的发热，周身不适，头痛目眩，咽喉肿痛。
"【药品名称】
通用名称：柴黄软胶囊
汉语拼音：chaihuangruanjiaonang",【成份】柴胡、黄芩,【性状】根据本品质量研究试验和稳定性试验的相关结果，确定本品的性状为棕褐色的软胶囊，内容物为棕褐色稠状混悬液；气微香，味微苦。,【功能主治】清热消炎。用于上呼吸道感染，感冒发烧
"【药品名称】
通用名称：柴酮片
汉语拼音：ChaitOng Pian",【成份】本品为烟台柴胡茎叶的浸膏片。,【性状】本品为糖衣片，除去糖衣后显灰褐色至棕褐色；味苦。,【功能主治】解热镇痛。用于外感风热、颈痛发热、咳嗽咽痛等症及上呼吸道感染见上述证候者。
"【药品名称】
通用名称：参威口服液
汉语拼音：shen wei kou fu ye",【成份】人参、黄芪、枸杞子、何首乌、鹿茸、五味子、白花蛇舌草、天花粉、威灵仙、甘草。、,,【功能主治】健脾补肾。适用于神疲乏力，腰膝酸软，头晕目眩者。
"【药品名称】
通用名称：参味补肾合剂
汉语拼音：shen wei bu shen he ji",【成份】西洋参、淫羊藿、五味子。,【性状】本品为黄棕色至红色的液体；气香，味甜，微苦。,【功能主治】益气健脾，补肾宁心。适用于气阴两虚，心肾不足所致的神疲乏力，头晕失眠，自汗心悸，腰膝酸软。
"【药品名称】
通用名称：参芎胶囊
汉语拼音：shen xiong jiao nang",【成份】西洋参、何首乌、淫羊藿、沙棘膏、川芎、乌鞘蛇。,【性状】本品为胶囊剂，内容物为棕褐色的粉末；味苦，微酸。,【功能主治】补肾健脾，填精益气，养血通络。适用于脾肾两虚所致的神疲乏力，头晕健忘，眼花耳鸣，心悸气短，腰膝酸软。
"【药品名称】
通用名称：参一胶囊
汉语拼音：shenyijiaonang",【成份】人参化为人参皂甙。,,【功能主治】培元固本，补益气血。与化疗配合用药，有助于提高原发性肺癌、肝癌的疗效，可改善肿瘤患者的气虚症状，提高机体免疫功能。
"【药品名称】
通用名称：参芝安神口服液
汉语拼音：Shenzhi Anshen Koufuye",【成份】云芝多糖、蜂蜜、人参茎叶皂苷、对羟基苯甲酸乙脂、蔗糖,,【功能主治】益气养阴，安神。用于气阴不足所致的失眠多梦，心悸气短，久病体弱。
"【药品名称】
通用名称：蚕参健脾颗粒
汉语拼音：Canshen Jianpi Keli",【成份】蚕蛹提取物、党参、黄芪、山药、桑椹、山茱萸、黄精、鸡内金、白术、陈皮、炙甘草。,【性状】本品为黄棕色的颗粒；气腥，味甜、微苦。,【功能主治】健脾胃，补肝肾，益气血。适用于老年体虚，病后术后的脾胃气虚，肝肾不足证，症见头晕目眩，神疲乏力，少气懒言，纳食减少，腰膝酸软。
"【药品名称】
通用名称：蚕茧眼药
汉语拼音：Canjian Yanyao",【成份】黄连、菊花、防风、当归、铜绿、白矾、大青盐、芒硝、冰片等13味。,【性状】本品为倒圆锥形，外裹丝棉的粗粉末；气微香，味苦。,【功能主治】清热散风，消肿止痛。用于暴发火眼，睑烂痛痒，羞明热泪。
"【药品名称】
通用名称：蚕蛹补肾胶囊
汉语拼音：Canyong Bushen Jiaonang",【成份】雄柞蚕蛹、刺五加、海龙、熟地黄、淫羊藿（羊脂制）、枸杞子、淀粉,,【功能主治】温肾助阳。用于肾阳不足所致的腰膝酸软，四肢乏力。
"【药品名称】
通用名称：苍耳子鼻炎胶囊
汉语拼音：Cang'erzi Biyan Jiaonang",【成份】苍耳子浸膏粉、石膏浸膏粉、白芷浸膏粉、冰片、辛夷花挥发油、薄荷脑、辛夷花浸膏粉、黄芩浸膏粉、,【性状】 本品为胶囊剂，内容物为深褐色的粉末；气香，味辛、凉。,【功能主治】疏风，清肺热，通鼻窍，止头痛。用于风热型鼻疾，包括急、慢性鼻炎，鼻窦炎，过敏性鼻炎。
"【药品名称】
通用名称：苍夷滴鼻油
汉语拼音：Cangyi Dibi You",【成份】苍耳子、白芷、辛夷油、冰片、薄荷油、,【性状】 本品为浅棕黄色的澄清油状液体；气香。,【功能主治】通鼻窍，散风邪。用于鼻渊，鼻塞流涕。
"【药品名称】
通用名称：藏青果冲剂（西青果冲剂）
汉语拼音：Zangqingguo Chongji",,【性状】本品为浅黄色颗粒或长方块状；味甜、微酸涩。,【功能主治】　清热，利咽，生津。用于急。慢性咽炎，慢性喉炎，慢性扁桃体炎。
"【药品名称】
通用名称：藏青果喉片（西青果喉片）
汉语拼音：Zaogqingguo Houpian",【成份】西青果。辅料为糊精、糖粉、明胶。,【性状】本品为浅灰黄色至浅棕黄色的片；气香，味甜，微酸、涩，具清凉感。,【功能主治】同藏青果颗粒。
"【药品名称】
通用名称：藏青果颗粒（冲剂）（西青果冲剂）
汉语拼音：cang qing guo ke li(chong ji)(xi qing guo chong ji)",【成份】西青果。辅料为,【性状】本品为浅棕黄色颗粒(或长方块状)；味甜、微酸涩。,【功能主治】清热，利咽，生津。用于慢性咽炎，慢性喉炎，慢性扁桃体炎。
"【药品名称】
通用名称：草豆蔻酊
汉语拼音：Caodoukou Ding",【成份】草豆蔻。,【性状】本品为淡黄色或红棕色的溶液；有草豆蔻的特殊香气，味辛凉。,【功能主治】温中化湿，行气止痛，健胃消食。用于食欲不振，胃脘胀痛，恶心呕逆，吞酸嘈杂。
"【药品名称】
通用名称：草香胃康胶囊
汉语拼音：Caoxing Weikang Jiaonang",【成份】鸡内金、决明子海螵蛸壮蛎、木香、阿魏,【性状】本品为胶囊剂，内容物为灰褐色的颗粒；味淡。,【功能主治】疏肝解郁，行气止痛。用于胃及十二指肠球部溃疡、慢性胃炎所致胃脘部疼痛，饥后尤甚，泛吐酸水，食欲不佳，心烦易怒等症。
"【药品名称】
通用名称：柴胡镇咳片
汉语拼音：Chaihu Zhenke Pian",【成份】柴胡。、,【性状】本品为糖衣片，除去糖衣后显棕褐色；气微，味微咸、苦、涩。,【功能主治】　镇咳。用于感冒引起的咳嗽，支气管炎。
"【药品名称】
通用名称：柴黄颗粒（冲剂）
汉语拼音：chai huang ke li(chong ji)",【成份】柴胡、黄芩苷,【性状】本品为黄棕色的颗粒，味甘、微苦。,【功能主治】清热解毒。用于上呼吸道感染，感冒发热。
"【药品名称】
通用名称：柴黄清热冲剂
汉语拼音：Chaihuang Qingre Chongji",【成份】石膏、柴胡、知母、黄芩、大青叶、薄荷、连翘、牛黄、板蓝根、水牛角浓缩粉、芦根、,【性状】本品为棕褐色的颗粒；味甜、微苦。,【功能主治】疏风透表，清热解毒。用于外感风热或时疫瘟邪引起的恶寒高热头痛眩晕。肢体酸痛，咽喉肿痛，烦躁口渴，口苦喜呕。
"【药品名称】
通用名称：柴芍六君丸
汉语拼音：Chaishao Liujun Wan",【成份】柴胡、白芍、党参、白术(麸炒)、法半夏、陈皮(制)、茯苓、炙甘草。,【性状】本品为褐色的水丸，味苦、微甘。,【功能主治】舒肝解郁，健脾和胃，益气养血。用于脾胃虚弱，肝胃不和，脾虚溏泄，呕吐吞酸，腹胀腹痛。
"【药品名称】
通用名称：柴银感冒颗粒
汉语拼音：Chaiyin Ganmao Keli",【成份】柴胡、金银花、拳参、射干、僵蚕、大青叶、板蓝根、陈皮、甘草、蔗糖或乳糖.（或甘露醇.）(无蔗糖),,"【功能主治】维医：
中医：清热解毒。用于风热感冒，症见发热，头痛，咽痛。"
"【药品名称】
通用名称：柴枳四逆散
汉语拼音：Chaizhi Sini San",【成份】柴胡、白芍、枳壳(炒)、甘草。,【性状】本品为淡黄色的粉末；味苦。,【功能主治】疏肝理脾。用于手足不温，胸胁痞满。
"【药品名称】
通用名称：蟾龙定喘合剂
汉语拼音：Chanlong Dingchuan Heji",【成份】麻黄、蟾蜍、地龙、五味子、补骨脂、淫羊藿、桂枝、红参、黄芪、当归、白芍、陈皮、清半夏、杏仁、干姜、猪胆汁、炙甘草、桔梗、紫苏叶,【性状】本品为棕红色的澄清液体；味苦。,【功能主治】散寒化痰，补肺益肾，止咳定喘。用于肺肾气虚性慢性支气管炎，虚寒性支气管哮喘，痰白多沫。
"【药品名称】
通用名称：蟾酥镇痛膏
汉语拼音：Chansu Zhengtong Gao",【成份】蟾酥、生马钱子、生天南星、生川乌、雄黄、白芷、姜黄、半边莲、樟脑、冰片、薄荷脑、二甲苯麝香、盐酸苯海拉明、二甲基亚砜、,【性状】本品为浅黄棕色的片状橡胶膏；气芳香。,【功能主治】消肿散结，消肿止痛。适用于各种肿块的止痛消散，也用于肌肉劳损、骨刺、关节炎等引起的疼痛。
"【药品名称】
通用名称：产妇安口服液
汉语拼音：Chanfu'an Koufuye",【成份】当归、川芎、红花、桃仁、甘草、干姜(炮)、益母草、,【性状】 本品为深棕红色的液体；气香，味甜。,【功能主治】祛瘀生新。用于产后血瘀腹痛，恶露不尽。
"【药品名称】
通用名称：产后康膏
汉语拼音：Chanhuokang Gao",【成份】黄芪、党参、当归、丹参、益母草、神曲、陈皮、香附、乌药、木香、生地黄、熟地黄、砂仁、杜仲、泽泻、甘草、白芍、山楂、谷芽、麦芽、,【性状】本品为棕褐色稠厚的半流体；味甜、微苦。,【功能主治】　益气养血、滋肾柔肝、安神敛汗、健脾和胃。用于产后、流产后贫血，恶露不净、头晕目眩，心悸汗多，失眠神疲、食欲不振。
"【药品名称】
通用名称：产后逐瘀片（益母片）
汉语拼音：Chanhuo Zhuyu Pian",【成份】益母草、当归、川芎、,【性状】本品为薄膜衣片，除去包衣后，显黄褐色；气香，味微辛。,【功能主治】　活血调经，去瘀止痛。用于产后瘀血不净，少妇腹痛。
"【药品名称】
通用名称：长白复尔春胶囊
汉语拼音：Changbai Fuerchun Jiaonang",【成份】鹿鞭、牛鞭、淫羊藿、蜂王浆、草苁蓉、狗鞭、人参茎叶皂甙、五味子、熟地黄、,【性状】本品为胶囊剂，内容物为浅黄褐色粉末；味微苦。,【功能主治】补肾壮阳。用于肾虚体弱、失眠、健忘。
"【药品名称】
通用名称：长城止咳喘糖浆
汉语拼音：Changcheng Zhikechuan Tangjiang",【成份】满山红、鱼腥草、款冬花、连翘、黄芩麦冬、罂粟壳、玄参甘草,【性状】本品为深棕色的澄清液体；气芳香，味甘、微苦。,【功能主治】消炎止咳，祛痰平喘。用于轻、中型慢性气管炎、咳喘症。
"【药品名称】
通用名称：长春宝丸
汉语拼音：Changchunbao Wan",【成份】人参、枸杞子、山药、五味子、天冬、麦冬、地黄、熟地黄、制何首乌、茯苓、牛膝、当归、补骨脂、杜仲、巴戟天、知母、黄柏、仙茅、淫羊藿、泽泻、丹参、黄芪、桑寄生、女贞子、墨旱莲、,【性状】本品为黑褐色的浓缩水蜜丸；气微，味甘，微苦。,"【功能主治】　补益气血，调和阴阳，滋肝肾，健脾胃，强筋骨。用于中老年人身体虚弱，肝肾亏损所致的精神疲乏，头晕目眩，腰腿酸软，眼花耳鸣，健忘失眠，心悸,气短，浮肿，夜多小便等症，也可作为高脂血证及高血压病人的辅助治疗药。"
"【药品名称】
通用名称：长春烫伤膏
汉语拼音：Changchun Tangshang Gao",【成份】银朱、冰片、人发、大黄、龙骨、黄连、苦杏仁、火麻仁、虫白蜡、豆油。,【性状】本品为红色粘稠状的半固体。,【功能主治】消炎，止痛。用于轻度水火烫伤。
"【药品名称】
通用名称：长春益寿膏
汉语拼音：Changchun Yishou Gao",【成份】天冬、麦冬、熟地黄、山药、牛膝、杜仲叶、制何首乌、人参、木香、五味子、菟丝子、金樱子等23味。,【性状】本品为黑褐色稠厚的半流体；味甜。,【功能主治】补五脏，调阴阳，益气血，壮筋骨。适用于体虚易倦，心悸失眠，头晕目眩，腰膝酸软。
"【药品名称】
通用名称：肠痢宁片
汉语拼音：Changlining Pian",【成份】山葡萄藤1400g穿山龙200g鹿骨胶100g制草乌100g、,【性状】本品为糖衣片，除去糖衣后显黑褐色；味微涩。,【功能主治】清热止痢。用于湿热痢疾，热泻。
"【药品名称】
通用名称：肠泰合剂
汉语拼音：Changtai Heji",【成份】红参、白术、茯苓、甘草、双歧杆菌培养液(≥×个/)、陈皮糖浆,,【功能主治】清热渗湿，固肠止泻。适用于大肠湿热内蕴所致的腹痛，腹泻，口苦的辅助治疗。
"【药品名称】
通用名称：肠胃散
汉语拼音：Changwei San",【成份】肉桂叶、吴茱萸、艾叶、砂仁、丁香、陈皮、茯苓、岗松、大叶桉叶,,【功能主治】温中散寒，燥湿止泻。用于寒湿蕴结所致的泄泻，腹痛肠鸣。
"【药品名称】
通用名称：肠炎宁片
汉语拼音：Changyanning Pian",【成份】地锦草、黄毛耳草、樟树根、香薷、枫树叶。,【性状】本品为薄膜衣片，除去薄膜衣显棕褐色；气芳香，味酸、微苦。,【功能主治】清热利湿，行气。用于湿热蕴结胃肠所致的腹泻，小儿消化不良。
"【药品名称】
通用名称：常通舒冲剂
汉语拼音：Changtongshu Chongji",【成份】何首乌、当归、赤芍、火麻仁、桑椹、,【性状】本品为黄棕色颗粒；味甜，微苦。,【功能主治】　滋阴养血，润肠通便。用于习惯性便秘，老年性便秘及产后便秘等症。
"【药品名称】
通用名称：常通舒颗粒（冲剂）
汉语拼音：chang tong shu ke li(chong ji)",【成份】何首乌、火麻仁、当归、桑椹。辅料为蔗糖、糊精。,【性状】本品为黄棕色颗粒，味甜、微苦。,【功能主治】滋阴养血，润肠通便。用于习惯性便秘，老年性便秘及产后便秘。
"【药品名称】
通用名称：畅鼻通颗粒
汉语拼音：Chang Bi Tong Ke Li",【成份】桂枝、荆芥、防风、黄芩、当归、白芍、薄荷、甘草。,,【功能主治】调和营卫，解表散风。用于风寒感冒、营卫不和，恶风有汗，头痛，喷嚏、鼻塞及过敏性鼻炎，荨麻疹等过敏性疾患见上述证候者。
"【药品名称】
通用名称：潮安胶囊
汉语拼音：Chaoan Jiaonang",【成份】龙芽{忽}木干燥茎皮、,【性状】本品为肠溶胶囊，内容物为棕褐色；味芳香，微甜。,【功能主治】　活血化瘀，消炎止痛。用于痛经，月经不调，盆腔炎等。
"【药品名称】
通用名称：沉香化气片
汉语拼音：Chenxiang Huaqi Pian",【成份】沉香、广藿香、莪术(醋制)、六神曲(炒)、陈皮、木香、香附(醋制)、砂仁、麦芽、甘草。,【性状】本品为棕褐色的片；气香，味微苦。,【功能主治】理气疏肝，消积和胃。用于肝胃气滞，脘腹胀痛，胸膈痞满，不思饮食，嗳气泛酸。
"【药品名称】
通用名称：缠喉散
汉语拼音：Chanhou San",【成份】朱砂、雄黄、巴豆霜、倒爬虫、,【性状】本品为朱红色的粉末；味稍辣，微有刺喉感。,【功能主治】定惊安神，清咽解毒。用于小儿惊风，痰涎壅盛，咽喉肿痛。
"【药品名称】
通用名称：蟾麝救心丸
汉语拼音：Chanshe Jiuxin Wan",【成份】牛黄、麝香、珍珠、蟾酥、红参、三七、冰片、猪胆膏、广角、赭石、水牛角浓缩物、丹参提取物、,【性状】本品为深棕色小水丸，味苦而后有持久的麻辣感?,【功能主治】扩张冠状动脉，改善心肌供氧，增强心脏功能等作用。用于冠心病引起的心绞痛、胸闷、气短和眩晕等症。
"【药品名称】
通用名称：产妇安颗粒
汉语拼音：Chanfu'an Keli",【成份】当归、川芎、红花、桃仁、甘草、干姜(炮)、益母草、,【性状】 本品为深棕红色的颗粒；味甜、微苦。,【功能主治】祛瘀生新。用于产后血瘀腹痛，恶露不尽。
"【药品名称】
通用名称：产后补丸
汉语拼音：Chanhoubu Wan",【成份】党参、山药、黄芩、木香、白术、延胡索、香附、琥珀、紫苏、化橘红、当归、茯苓、益母草、地黄、砂仁、川芎、乌药、熟地黄、血竭、木瓜、牛膝、沉香、甘草、赤芍、阿胶、,【性状】 本品为深褐色的水蜜丸；气微，味微苦。,【功能主治】活血祛瘀，散寒止痛。用于产后腰腹疼痛，头痛身酸。
"【药品名称】
通用名称：产后益母丸
汉语拼音：Chanhou Yimu Wan",【成份】益母草、当归、川芎、赤芍、香附、延胡索、熟地黄、红花、桃仁、,【性状】本品为棕褐色的大蜜丸；气微，味甜。,【功能主治】　活血化瘀，理气止痛。用于产后恶露不尽，瘀血腹痛，亦可用于瘀血痛经。
"【药品名称】
通用名称：产灵丸(产灵丹)
汉语拼音：Chanling Wan",【成份】人参、白术、当归、川芎、苍术、何首乌(黑豆酒炙)、荆芥穗、防风、麻黄、川乌(银花甘草炙)、草乌(银花甘草炙)、白芷、细辛、八角茴香、木香、两头尖、桔梗、血竭、甘草、,【性状】本品为棕黑色的小蜜丸或大蜜丸；气微香，味甜、微辛。,【功能主治】　益气养血，散风止痛。用于产后气血虚弱，感受风寒引起的周身疼痛，头目眩晕，恶心呕吐，四肢浮肿。
"【药品名称】
通用名称：长城感冒片
汉语拼音：Changcheng Ganmao Pian",【成份】金银花连翘、牛蒡子芦根、黄芩、桔梗淡豆豉羌活、羚羊角粉甘草膏薄荷脑荆芥穗油,【性状】本品为包衣片，除去包衣后显棕褐色；气凉，味微苦。,【功能主治】清热散风，解表退烧。用于流行感冒，发冷发烧，四肢酸懒，头痛咳嗽，咽喉肿痛，瘟毒发颐，两腮赤肿。
"【药品名称】
通用名称：长春宝口服液
汉语拼音：Changchunbao Koufuye",【成份】人参、枸杞子、山药、五味子、天冬、麦冬、地黄、熟地黄、制何首乌、茯苓、牛膝、当归、补骨脂、杜仲、巴戟天、知母、黄柏、仙茅、淫羊藿、泽泻、丹参、黄芪、桑寄生、女贞子、墨旱莲、,【性状】本品为棕色至黄褐色的澄清液体；气微，味甜、微苦。,【功能主治】　补益气血，调和阴阳，滋肝肾，健脾胃，强筋骨。用于中老年人身体虚弱，肝肾亏损所致的精神疲乏，头晕目眩，腰腿酸软，眼花耳鸣，健忘失眠，心悸，气短，浮肿，夜多小便等症；也可作为高脂血症的高血压病人的辅助治疗。
"【药品名称】
通用名称：长春红药片
汉语拼音：Changchun Hongyao Pian",【成份】三七、草乌、制川乌、莲子心、当归、骨碎补(烫)、石菖蒲、蒲公英、小蓟、乳香、没药、仙鹤草、冰片、红花、菊花、桅子、重楼、朱砂、延胡索、,【性状】本品为糖衣片，除去糖衣后显棕黄色；具冰片气，味微苦。,【功能主治】　活血化瘀，消肿止痛。用于跌打损伤，瘀血作痛。
"【药品名称】
通用名称：长春药酒
汉语拼音：Changchun Yaojiu",【成份】淫羊藿、杜仲、肉苁蓉、五加皮、地骨皮、牛膝、花椒、熟地黄、枸杞子、黄芪、当归、红花等27味。,【性状】本品为红褐色的澄清液体；气芳香，味辛、甜。,【功能主治】暖肾益精，祛风湿，壮筋骨，调和气血。用于肾虚腰痛，遗精，风湿骨痛，气虚血弱。
"【药品名称】
通用名称：肠康片
汉语拼音：Changkang Pain",【成份】木香、吴茱萸（制）、盐酸小檗碱。,【性状】本品为薄膜衣片，除去衣后，显棕黄色；气香，味苦。,【功能主治】清热燥湿，理气止痛。用于湿热泄泻。
"【药品名称】
通用名称：肠舒止泻胶囊
汉语拼音：Changshu Zhixie Jiaonang",【成份】鸡屎藤、砂仁、人参、山药、苍术（炒）、黄柏、黄连、木香（炒）、小茴香（炒）、肉豆蔻、诃子（去核）、甘草、山楂(炒焦)、硬脂酸镁,,"【功能主治】彝医：
中医：益气健脾，清热化湿。用于脾虚湿热所致的慢性泄泻。"
"【药品名称】
通用名称：肠胃宁片
汉语拼音：Changweining Pian",【成份】党参、白术、黄芪、赤石脂、干姜(炭)、木香、砂仁、补骨脂、葛根、防风、白芍、延胡索、当归、儿茶、罂粟壳、炙甘草。,【性状】本品为糖衣片，除去糖衣后显黑褐色；气香，味苦。,【功能主治】健脾益肾，温中止痛，涩肠止泻。用于脾肾阳虚所致的泄泻，症见大便不调、五更泄泻、时带黏液，伴腹胀腹痛、胃脘不舒、小腹坠胀。
"【药品名称】
通用名称：肠胃适胶囊
汉语拼音：Changweishi Jiaonang",【成份】十大功劳、鸡骨香、黄连须、救心应、凤尾草、葛根、两面针、防己、,【性状】本品为胶囊剂，内容物为淡棕黄色粉末；味苦、甘。,【功能主治】　清热利湿，调中止泻，解毒治痢。用于湿热腹泻、腹痛、急性肠胃炎等。
"【药品名称】
通用名称：肠炎宁糖浆
汉语拼音：Changyanning Tangjiang",【成份】地锦草、黄毛耳草、樟树根、香薷、枫树叶。,【性状】本品为棕褐色的粘稠液体；味甜，微苦。,【功能主治】清热利湿，行气。用于大肠湿热所致的泄泻，症见大便泄泻、腹痛腹胀；腹泻、小儿消化不良见上述证候者。
"【药品名称】
通用名称：常通舒颗粒
汉语拼音：changtongshukeli",【成份】何首乌、当归、赤芍、火麻仁、桑椹。,【性状】本品为黄棕色的颗粒；味甜、微苦。,【功能主治】滋阴养血，润肠通便。用于习惯性便秘，老年性便秘及产后便秘。
"【药品名称】
通用名称：嫦娥加丽丸
汉语拼音：Chang’e Jiali Wan",【成份】人参、当归川芎丹参、赤芍淫羊藿韭菜子、蛇床子、薏苡仁蟾酥,【性状】本品为胶囊剂，内容物为深褐色(素丸)或红、绿、自三色(包衣丸)小丸粒；味甜、微苦、辛。,【功能主治】补肾益气，养血活血，调经赞育。用于肾阳虚损，更年期综合症，月经紊乱，痛经，功能性不孕症，性欲减退等症。
"【药品名称】
通用名称：畅鼻通颗粒(宁金冲剂)
汉语拼音：Changbitong Keli",【成份】桂枝、当归、荆芥、防风、黄芩、白芍、薄荷、甘草、,【性状】本品为棕黄色至黄棕色的颗粒；气芳香，味甜、微苦。,【功能主治】调和营卫，解表散风。风干风寒感冒、营卫不和，恶风有汗，头痛，喷嚏、鼻塞及过敏性鼻炎，荨麻疹等过敏性疾患见上述证候者。
"【药品名称】
通用名称：沉香化气胶囊
汉语拼音：chen xiang hua qi jiao nang",【成份】沉香、木香、广藿香、香附（醋制）、砂仁、陈皮、莪术（醋制）、六神曲（炒）、麦芽（炒）、甘草，辅料为糊精、明胶。,【性状】本品为胶囊剂，内容物为黄棕色粉末；气香，味微甜、苦。,【功能主治】理气疏肝，消积和胃。用于肝胃气滞，脘腹胀痛，胸膈痞满，不思饮食，嗳气泛酸。
"【药品名称】
通用名称：沉香化气丸
汉语拼音：chen xiang hua qi wan",【成份】沉香、木香、广藿香、香附、(醋制)、砂仁、陈皮、莪术、(醋制)、六神曲(炒)、麦芽、(炒)、甘草。,,【功能主治】理气疏肝，消积和胃。用于肝胃气滞，脘腹胀痛，胸膈痞满，不思饮食，嗳气泛酸。
"【药品名称】
通用名称：沉香降气丸
汉语拼音：Chenxiang Jiangqi Wan",【成份】沉香、砂仁、香附（制）、甘草,,【功能主治】理气消胀。用于肝胃气滞所致的胸膈胀满，气滞腹痛。
"【药品名称】
通用名称：沉香利气丸
汉语拼音：Chen Xiang Li Qi Wan",【成份】沉香、香附(醋炙)、青皮(醋炙)、佛手、郁金、柴胡、延胡索(醋炙)、陈皮、枳壳(麸炒)、厚朴(姜炙)、山楂(炒)、牵牛子(炒焦)等22味。,,【功能主治】行气舒郁，健胃导滞。用于气郁不舒，消化不良引起的胸胁痞满，嗳气吞酸，胃脘胀痛，大便秘结。
"【药品名称】
通用名称：沉香曲
汉语拼音：Chenxiang Qu",【成份】防风、羌活、白芷、藿香、檀香、降香、沉香、厚朴(姜制)、枳壳(麸炒)、郁金、桔梗、甘草等24味。,【性状】本品为黄棕色小块；气香、味苦、辛。,【功能主治】疏表化滞，舒肝和胃。用于表邪未尽，肝胃气滞，胸闷脘胀，胁肋作痛，吞酸呕吐。
"【药品名称】
通用名称：沉香舒气丸
汉语拼音：Chenxiang Shuqi Wan",【成份】木香、砂仁、沉香、青皮（醋炙）、厚朴（姜炙）、香附（醋炙）、乌药、枳壳（去瓤麸炒）、草果仁、豆蔻、片姜黄、郁金、延胡索（醋炙）、五灵脂（醋炙）、柴胡、山楂（炒）、槟榔、甘草。,【性状】本品为黄褐色的大蜜丸；气微香，味甜、微苦。,【功能主治】舒气化郁，和胃止痛。用于肝郁气滞、肝胃不和引起的胃脘胀痛，两胁胀满疼痛或刺痛，烦躁易怒，呕吐吞酸，呃逆嗳气，倒饱嘈杂，不思饮食。
"【药品名称】
通用名称：沉香舒郁丸
汉语拼音：Chenxiang Shuyu Wan",【成份】沉香、木香、厚朴(姜制)、枳壳(麸炒)、延胡索(酒制)、豆蔻、陈皮、砂仁、香附(醋制)、青皮(醋制)、柴胡、姜黄等13味。,【性状】本品为棕褐色的大蜜丸；味甜、微苦。,【功能主治】舒气开胃，化郁止痛。用于胸腹胀满，胃部疼痛，呕吐酸水，消化不良，食欲不振，郁闷不舒。
"【药品名称】
通用名称：陈香露白露片
汉语拼音：Chenxiang Lubailu Pian",【成份】陈皮、川木香、大黄、石菖蒲、甘草、次硝酸铋、碳酸氢钠、碳酸镁、氧化镁。,【性状】本品为淡黄棕色片；气香，味咸、甜。,【功能主治】健胃和中，理气止痛。用于胃酸过多，及慢性胃炎引起的胃脘痛。
"【药品名称】
通用名称：齿痛宁
汉语拼音：Chitongning",【成份】升麻、川芎、藁本、石膏、白芷、细辛、荜茇、雄黄、乳香、皂角刺、地骨皮、高良姜、冰片、,【性状】本品为棕黄色的粉末；气香，味微，有清凉感。,【功能主治】　清热解毒，消肿止痛，化腐生肌，收敛止血。用于各种牙痛。
"【药品名称】
通用名称：齿痛消炎灵颗粒
汉语拼音：Chi Tong Xiao Yan Ling Ke Li",【成份】石膏、地黄、青皮、青黛、牡丹皮、细辛、白芷、防风、荆芥、甘草。,【性状】本品为黄棕色至棕褐色的颗粒；味甜、微苦或味微苦(无蔗糖)。,【功能主治】疏风清热，凉血止痛。用于脾胃积热、风热上攻所致的头痛身热、口干口臭、便秘燥结、牙龈肿痛；急性齿根尖周炎、智齿冠周炎、急性牙龈（周）炎见上述证候者。
"【药品名称】
通用名称：齿痛消炎灵颗粒（无糖型）
汉语拼音：chi tong xiao yan ling ke li(mo tang xing)",【成份】石膏、地黄、青皮、青黛、牡丹皮、细辛、白芷、防风、荆芥、甘草。,【性状】本品为棕褐色的颗粒；味微甜、微苦。,【功能主治】疏风清热，凉血止痛。用于脾胃积热，风热上攻所致的牙痛、牙龈肿痛，包括急性齿根尖周炎，智齿冠周炎，牙周炎有上述症状者。
"【药品名称】
通用名称：虫草参芪膏
汉语拼音：chong cao shen qi gao",【成份】冬虫夏草、鹿茸、人参、党参、黄芪、麦冬、丹参、当归、五味子、枸杞子、地黄,,【功能主治】补气养血，益肾助阳。用于气血亏虚、肾阳不足所致的气短懒言，神疲乏力，头晕眼花，腰膝酸软。
